"Table A1.  Grand-design and Flocculent galaxies identiﬁed from SDSS. F: Flocculent ( p F = 1); f: Flocculent (0.8 ≤ p F < 1); G: Grand-design","","","","","","",""
"( p G = 1); g: Grand-design (0.8 ≤ p G < 1).","","","","","","",""
"galaxy","class","galaxy","class","galaxy","class","galaxy","class"
"J002624.97 + 010112.0","F","J080845.83 + 181139.1","g","J084614.11 + 413447.2","g","J091633.43 + 395222.0","F"
"J002820.53-001304.2","G","J080959.95 + 400611.4","F","J084645.21 + 065735.8","G","J091639.79 + 071558.9","F"
"J003514.53 + 004145.5","g","J081200.33 + 192147.4","g","J084706.91 + 281411.6","G","J091644.18 + 195608.5","F"
"J003934.83 + 005135.8","F","J081246.43 + 262142.4","F","J084806.88 + 415133.2","F","J091814.20 + 453906.0","F"
"J004037.85-001950.4","F","J081314.20 + 522731.4","G","J084824.64 + 181952.0","F","J091859.85 + 511924.2","F"
"J004215.87 + 005043.7","G","J081321.11 + 575108.0","G","J084825.19 + 234337.7","g","J091933.11 + 055257.9","G"
"J004351.87 + 004807.0","F","J081416.48 + 182626.4","F","J084840.22 + 010219.6","G","J091937.94 + 272728.0","G"
"J005751.70-010809.6","G","J081422.03 + 391504.8","G","J084922.55 + 364237.2","G","J091953.44 + 480558.2","F"
"J005848.86 + 003514.1","F","J081602.15 + 283729.0","F","J084927.19 + 293111.8","F","J092032.71 + 174207.8","F"
"J005942.12 + 005459.7","F","J081618.48 + 522518.9","F","J085241.66 + 404104.0","F","J092040.65 + 150603.4","G"
"J011233.68 + 001736.2","F","J081625.36 + 255928.8","G","J085311.32 + 090853.3","g","J092041.03 + 181422.4","G"
"J011832.25-011150.4","G","J081759.80 + 463414.7","F","J085335.85 + 452007.8","F","J092054.48 + 280913.6","F"
"J012223.77-005230.7","g","J081915.52 + 244733.5","F","J085421.60 + 324051.0","f","J092101.68 + 390923.6","F"
"J015148.51 + 001549.7","G","J081932.11 + 212339.4","f","J085552.29 + 023127.4","F","J092206.21 + 035350.1","F"
"J015840.93 + 003145.1","g","J082016.56 + 205230.2","F","J085640.68 + 002230.0","F","J092238.18 + 605155.6","F"
"J020212.33-000602.2","G","J082040.80 + 255419.2","f","J085658.00 + 520357.4","G","J092253.06 + 215830.6","G"
"J021219.68-004841.4","G","J082046.07 + 163844.8","G","J085701.08 + 131156.7","f","J092253.83 + 291944.4","F"
"J022854.70 + 002213.1","F","J082049.32 + 223927.9","F","J085850.47 + 061734.7","f","J092308.11 + 022909.8","F"
"J024927.95-005222.7","g","J082059.90 + 551630.4","g","J090007.89 + 165526.4","F","J092313.36 + 023604.6","F"
"J025627.12 + 005232.7","g","J082202.66 + 571830.3","F","J090015.62 + 401748.3","G","J092317.35 + 401200.2","F"
"J072333.23 + 412605.6","F","J082210.67 + 031604.9","g","J090020.25 + 522939.2","g","J092319.53 + 221625.2","g"
"J072916.63 + 421646.5","f","J082224.79 + 253032.6","g","J090022.63 + 645451.7","G","J092335.52 + 244542.1","G"
"J072954.31 + 372706.3","g","J082258.58 + 274227.7","F","J090125.79 + 070149.7","G","J092401.10 + 051233.8","F"
"J073353.32 + 370133.3","g","J082356.76 + 040904.9","F","J090131.19 + 491931.4","G","J092455.63 + 555348.1","F"
"J073737.12 + 415649.4","F","J082430.93 + 183549.5","F","J090140.94 + 110458.7","F","J092518.91 + 340644.9","F"
"J073749.41 + 462351.5","g","J082509.36 + 421801.0","F","J090206.16 + 232313.5","F","J092528.24 + 233630.9","G"
"J073836.50 + 373800.6","F","J082512.07 + 202005.0","G","J090215.69 + 031011.7","g","J092547.99 + 341637.5","F"
"J073906.00 + 290936.2","g","J082545.40 + 192657.4","g","J090215.81 + 165017.8","F","J092609.43 + 491836.7","G"
"J073945.26 + 484431.1","F","J082607.43 + 212724.1","F","J090243.84 + 252516.1","F","J092651.02 + 233037.9","f"
"J074438.73 + 402158.8","F","J082656.13 + 040503.5","G","J090617.35 + 500521.4","G","J092723.49 + 302626.9","g"
"J074618.81 + 390400.6","F","J082726.52 + 171702.6","g","J090649.87 + 484620.9","G","J092752.72 + 483124.0","F"
"J074637.70 + 444725.8","G","J082727.67 + 254327.9","F","J090658.46 + 175749.5","g","J092810.03 + 443953.0","f"
"J074951.23 + 184944.3","F","J082814.37 + 280326.3","g","J090711.08 + 504245.8","g","J093011.76 + 555108.7","G"
"J075000.02 + 300129.7","g","J082844.42 + 580905.8","F","J090719.58 + 461321.2","G","J093015.19 + 040839.1","F"
"J075135.63 + 425248.3","f","J082959.75 + 310207.8","G","J090720.92 + 402706.0","F","J093107.87 + 462303.3","F"
"J075208.95 + 502225.1","g","J083002.52 + 212919.1","G","J090758.29 + 414232.1","F","J093123.37 + 051609.7","g"
"J075318.07 + 445157.5","g","J083041.28 + 521802.4","F","J090813.24 + 513906.4","g","J093136.57 + 411903.1","F"
"J075329.20 + 143641.8","F","J083054.11 + 201453.0","F","J090842.62 + 444838.3","F","J093225.05 + 572858.4","F"
"J075341.04 + 525238.2","g","J083127.04 + 605942.6","F","J090919.43 + 545443.0","F","J093249.24 + 622012.3","F"
"J075546.72 + 465456.4","g","J083203.50 + 240039.2","F","J090920.30 + 204150.3","F","J093303.64 + 295542.0","g"
"J075616.63 + 113943.8","g","J083322.68 + 523156.1","F","J090933.47 + 323022.8","F","J093316.39 + 230805.6","F"
"J075625.07 + 270045.2","g","J083356.66 + 265821.5","F","J090941.78 + 373605.6","g","J093341.87 + 395902.7","F"
"J075719.70 + 111221.8","G","J083517.47 + 554943.8","G","J090958.07 + 621450.4","G","J093352.12 + 465149.2","F"
"J075756.49 + 250939.1","g","J083524.74 + 233130.5","F","J091005.47 + 543449.1","F","J093356.87 + 513144.5","f"
"J075913.05 + 325452.8","G","J083534.43 + 524720.0","G","J091046.43 + 332239.0","G","J093402.71 + 092845.1","F"
"J075953.80 + 331725.8","G","J083742.96 + 203013.8","F","J091135.56 + 325055.6","F","J093438.64 + 055029.1","g"
"J075957.14 + 354851.5","g","J083834.00 + 304755.2","F","J091301.27 + 202154.9","F","J093526.27 + 294845.4","G"
"J080006.28 + 130907.6","F","J083844.47 + 433251.1","G","J091302.23 + 493822.0","F","J093630.83 + 482810.4","F"
"J080236.52 + 272614.9","f","J083909.28 + 450747.7","f","J091313.39 + 031349.7","F","J093637.36 + 342847.2","G"
"J080249.63 + 154829.8","F","J083939.93 + 605808.0","f","J091316.34 + 312130.4","f","J093652.46 + 374141.6","F"
"J080315.45 + 304747.4","g","J084009.47 + 522721.5","G","J091331.36 + 285706.3","g","J093709.24 + 195009.4","g"
"J080328.94 + 332744.6","G","J084015.50 + 560254.6","F","J091335.59 + 122626.9","G","J093710.07 + 165837.9","G"
"J080415.02 + 084355.4","F","J084022.70 + 233222.8","f","J091346.29 + 621954.4","G","J093715.19 + 233526.1","g"
"J080534.10 + 102336.2","f","J084052.60 + 425013.7","g","J091402.54 + 400647.1","F","J093731.00 + 193521.7","f"
"J080550.85 + 122847.9","f","J084132.11 + 511446.6","F","J091412.74 + 164432.3","g","J093832.18 + 371129.5","F"
"J080611.20 + 123236.6","g","J084141.20 + 403926.8","G","J091426.23 + 360644.1","g","J093833.50 + 203922.4","F"
"J080627.40 + 505717.3","F","J084153.06 + 325205.3","g","J091503.52 + 291611.9","G","J093907.96 + 340022.7","F"
"J080642.79 + 390524.7","G","J084158.53 + 573530.9","g","J091504.79 + 415948.9","G","J094032.90 + 252925.7","G"
"J080724.84 + 391140.1","F","J084252.68 + 250413.4","F","J091506.31-004306.2","G","J094112.93 + 610340.7","F"
"J080756.40 + 174831.2","F","J084408.28 + 344302.0","F","J091555.00 + 100757.0","F","J094146.39 + 465825.9","F"
"J080844.71 + 563532.4","g","J084455.20 + 474444.8","F","J091601.77 + 173523.3","G","J094255.15 + 285850.7","g"
"J094302.18 + 374923.3","g","J100750.54 + 341855.0","F","J103521.00 + 033330.2","g","J105609.59 + 472332.8","f"
"J094308.54 + 211056.4","G","J100804.27 + 144814.9","F","J103625.68 + 583322.3","g","J105615.48 + 151324.8","F"
